amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name,fund_house,category,expense_ratio_pct,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_date,alpha,beta,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
148567,0.20360678307711866,0.3400091602163293,0.2679927700697151,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,1.4482911703262595,2.385644373368818,-0.11265729075028275,2023-10-20,0.2698375144191807,0.023683558075848637,2.0,1.0,7.0,23.0,8.0,6.499999999999999
120505,0.29604659337893646,0.317775371512347,0.2837676208804263,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,1.1801011976606495,2.0293529404657464,-0.18188513572116294,2025-01-23,0.2926358334175106,0.000549004250631735,5.0,5.0,3.0,15.0,25.0,8.1
120843,0.26657081760850154,0.2958277033726251,0.2674249401072899,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,1.3067439695428407,2.364320032166718,-0.1297396816518679,2022-04-13,0.27330465038306057,-0.022829569792426528,7.0,2.0,5.0,22.0,13.0,8.200000000000001
100033,0.5323239623092084,0.32442459421956116,0.260740682788986,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,1.0936987435346308,1.8291339615146942,-0.16217208574644848,2022-05-12,0.2719535450128533,0.0051035258305283,4.0,7.0,6.0,17.0,20.0,8.7
120504,0.13064279264417977,0.3248742855621496,0.20234028033314222,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,1.0265242847993004,1.8052937940992548,-0.12588275606922517,2023-05-30,0.2119482701352573,0.016232169761417007,3.0,10.0,13.0,12.0,12.0,9.0
119094,0.22261065131342206,0.35111802096428524,0.24445308534360555,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,0.9982309868636414,1.7037974802463003,-0.20960883862039192,2022-08-11,0.2607666908004223,-0.06626542862803757,1.0,11.0,9.0,17.0,28.0,10.2
119551,0.6043734071403091,0.3045652442030289,0.22384873172214603,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,1.2082665673727175,2.140267129061793,-0.1501238549864533,2024-02-05,0.23201007160635082,-0.03175144113890974,6.0,4.0,10.0,30.5,17.0,11.075
148569,0.3975176148971702,0.2917890157839378,0.2762985997578453,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,1.2349300257743296,2.1469139263460555,-0.1639674294693263,2023-10-20,0.2827036785246582,0.018133884083859228,8.0,3.0,4.0,36.5,21.0,11.525
101206,0.4792412023860102,0.2896769452874166,0.20442729550832484,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,1.0272133278753697,1.7995628746984524,-0.11291596329323073,2023-07-05,0.21399784776051212,0.021086316250128034,9.0,9.0,12.0,36.5,9.0,13.725
119598,0.8277605861507404,0.2666992200118774,0.28033223731546975,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,0.9453082575156093,1.6753165700125516,-0.2870600572176455,2025-05-14,0.3033696538698332,-0.02319606204405971,12.0,14.0,1.0,21.0,36.0,14.049999999999999
149323,0.21481222193726257,0.268699908289022,0.256118065778393,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,1.1321218524747245,1.875101063919208,-0.17248105753451382,2022-10-24,0.26598577542043045,-0.00252300466469923,11.0,6.0,8.0,38.0,22.0,14.3
149324,0.6513871892998797,0.27000426614519246,0.2791743018490922,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,0.9497958246616031,1.619793176491409,-0.31171900300634214,2025-01-03,0.3005787817097677,0.011455159960520699,10.0,13.0,2.0,26.5,37.0,14.325
118632,0.339810484550213,0.22652359830098634,0.2088111809083788,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,1.0816591793457044,1.8501325468557264,-0.17414075086657232,2024-07-19,0.21829397904608644,-0.008353832126962014,14.0,8.0,11.0,24.5,23.0,14.375
119552,0.05706100044974027,0.16267372294624916,0.18713118910689763,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,0.9532794968660103,1.609776489628308,-0.11803493502764295,2024-09-02,0.1986859936686296,-0.026159307513513412,23.0,12.0,15.0,4.0,11.0,14.599999999999998
125497,0.2867535802656873,0.18434488610520172,0.16555918956858906,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,0.7757902498211207,1.3306512447571366,-0.15200013055606398,2025-01-01,0.17729754927531766,0.04882040425957738,19.0,18.0,16.0,14.0,18.0,17.299999999999997
118635,0.22493224932249345,0.20008208380471482,0.13914386506748544,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,0.6648569985490619,1.137976718780742,-0.1165062450540909,2022-06-09,0.1513635464823924,-0.0014335213897801215,17.0,19.0,23.0,13.0,10.0,17.4
